iter	Passed	Remaining
784	2357	645
785	2360	642
786	2366	640
787	2371	637
788	2373	634
789	2375	631
790	2378	628
791	2380	625
792	2382	621
793	2385	618
794	2387	615
795	2390	612
796	2392	609
797	2394	606
798	2397	603
799	2400	600
800	2402	596
801	2405	593
802	2407	590
803	2410	587
804	2413	584
805	2415	581
806	2418	578
807	2421	575
808	2423	572
809	2425	568
810	2427	565
811	2429	562
812	2432	559
813	2435	556
814	2437	553
815	2439	550
816	2441	546
817	2444	543
818	2446	540
819	2449	537
820	2452	534
821	2454	531
822	2456	528
823	2459	525
824	2461	522
825	2463	519
826	2467	516
827	2470	513
828	2472	510
829	2474	506
830	2477	503
831	2479	500
832	2482	497
833	2484	494
834	2486	491
835	2488	488
836	2491	485
837	2493	482
838	2496	479
839	2499	476
840	2502	473
841	2504	469
842	2506	466
843	2509	463
844	2512	460
845	2515	457
846	2518	455
847	2521	451
848	2523	448
849	2525	445
850	2528	442
851	2530	439
852	2532	436
853	2535	433
854	2537	430
855	2539	427
856	2542	424
857	2544	421
858	2547	418
859	2549	415
860	2552	412
861	2554	409
862	2557	405
863	2559	402
864	2561	399
865	2564	396
866	2566	393
867	2568	390
868	2570	387
869	2572	384
870	2575	381
871	2577	378
872	2579	375
873	2582	372
874	2584	369
875	2587	366
876	2590	363
877	2592	360
878	2595	357
879	2598	354
880	2600	351
881	2603	348
882	2606	345
883	2612	342
884	2615	339
885	2617	336
886	2619	333
887	2622	330
888	2624	327
889	2628	324
890	2630	321
891	2633	318
892	2635	315
893	2637	312
894	2640	309
895	2642	306
896	2645	303
897	2648	300
898	2650	297
899	2652	294
900	2655	291
901	2657	288
902	2660	285
903	2663	282
904	2665	279
905	2668	276
906	2671	273
907	2676	271
908	2678	268
909	2680	265
910	2682	262
911	2685	259
912	2688	256
913	2691	253
914	2693	250
915	2696	247
916	2698	244
917	2700	241
918	2705	238
919	2707	235
920	2710	232
921	2712	229
922	2714	226
923	2717	223
924	2719	220
925	2721	217
926	2723	214
927	2726	211
928	2728	208
929	2730	205
930	2734	202
931	2736	199
932	2739	196
933	2742	193
934	2745	190
935	2748	187
936	2750	184
937	2753	181
938	2755	179
939	2758	176
940	2760	173
941	2763	170
942	2765	167
943	2767	164
944	2770	161
945	2772	158
946	2775	155
947	2777	152
948	2779	149
949	2782	146
950	2785	143
951	2788	140
952	2791	137
953	2793	134
954	2796	131
955	2799	128
956	2802	125
957	2805	122
958	2807	120
959	2810	117
960	2812	114
961	2815	111
962	2817	108
963	2819	105
964	2822	102
965	2824	99
966	2827	96
967	2830	93
968	2832	90
969	2835	87
970	2837	84
971	2839	81
972	2842	78
973	2845	75
974	2848	73
975	2851	70
976	2853	67
977	2855	64
978	2858	61
979	2860	58
980	2862	55
981	2865	52
982	2867	49
983	2869	46
984	2872	43
985	2874	40
986	2876	37
987	2878	34
988	2881	32
989	2884	29
990	2888	26
991	2891	23
992	2895	20
993	2898	17
994	2901	14
995	2903	11
996	2906	8
997	2909	5
998	2912	2
999	2915	0
